Timestamp,Force (V),Force (N),Displacement (V),Displacement (mm),Temperature (V),Temperature (C)
2025-10-30 11:53:48.344081,-0.001499551279304831,-0.5885738771271462,2.80930504639097,28.093050463909698,1.0324649471062814,41.29859788425126
2025-10-30 11:53:48.347414,-0.0016640118458043363,-0.6531246494782019,2.8014108783290026,28.014108783290027,1.0273666596495978,41.09466638598391
2025-10-30 11:53:48.350748,-0.001499551279304831,-0.5885738771271462,2.8040422676545003,28.040422676545003,0.9964480144596806,39.85792057838722
2025-10-30 11:53:48.354081,-0.000677248446247801,-0.2658200151522619,2.806673657008483,28.06673657008483,0.9972703188238004,39.890812752952016
2025-10-30 11:53:48.357414,-0.0016640118458043363,-0.6531246494782019,2.80930504639097,28.093050463909698,1.0170056240411571,40.68022496164629
2025-10-30 11:53:48.360748,-0.001006169579582536,-0.39492155998614537,2.809798431903361,28.097984319033607,1.035918625741212,41.436745029648485
2025-10-30 11:53:48.364081,-0.001499551279304831,-0.5885738771271462,2.801081954665318,28.010819546653178,1.025228668153938,41.00914672615752
2025-10-30 11:53:48.367414,-0.0018284724122665519,-0.7176754218146216,2.804700114990325,28.04700114990325,0.9959546318419721,39.83818527367888
2025-10-30 11:53:48.370748,-0.0008417090129338237,-0.33037078757652577,2.8065091951730246,28.065091951730246,1.001052918919249,40.04211675676996
2025-10-30 11:53:48.374081,-0.0013350907127680361,-0.5240231047614542,2.8071670425155273,28.071670425155272,1.0130585629240225,40.522342516960904
2025-10-30 11:53:48.377414,-0.0018284724122665519,-0.7176754218146216,2.8091405845537287,28.091405845537288,1.0275311205343303,41.101244821373214
2025-10-30 11:53:48.380748,-0.0018284724122665519,-0.7176754218146216,2.8071670425155273,28.071670425155272,1.0286823467292614,41.147293869170454
2025-10-30 11:53:48.384081,-0.0013350907127680361,-0.5240231047614542,2.802726572988192,28.02726572988192,1.00286198854203,40.1144795416812
2025-10-30 11:53:48.387414,-0.0013350907127680361,-0.5240231047614542,2.8055224241626093,28.055224241626092,1.0025330667918595,40.10132267167438
2025-10-30 11:53:48.390748,-0.0013350907127680361,-0.5240231047614542,2.806838118844053,28.068381188440533,1.0142097890793733,40.568391563174934
2025-10-30 11:53:48.394081,-0.001499551279304831,-0.5885738771271462,2.809469508228322,28.09469508228322,1.0225972940203658,40.90389176081463
2025-10-30 11:53:48.397414,-0.001499551279304831,-0.5885738771271462,2.8056868859974,28.056868859974,1.028517885844078,41.14071543376312
2025-10-30 11:53:48.400748,-0.001499551279304831,-0.5885738771271462,2.802397649322727,28.023976493227273,1.0005595362961925,40.0223814518477
2025-10-30 11:53:48.404081,-0.0008417090129338237,-0.33037078757652577,2.804700114990325,28.04700114990325,1.0031909102924557,40.12763641169823
2025-10-30 11:53:48.407414,-0.0011706301461939309,-0.45947233238111784,2.808318275369196,28.08318275369196,1.011413954136108,40.45655816544432
2025-10-30 11:53:48.410748,-0.0013350907127680361,-0.5240231047614542,2.810785202931151,28.10785202931151,1.0235840593185253,40.94336237274101
2025-10-30 11:53:48.414081,-0.0016640118458043363,-0.6531246494782019,2.8065091951730246,28.065091951730246,1.025228668153938,41.00914672615752
2025-10-30 11:53:48.417414,-0.0018284724122665519,-0.7176754218146216,2.8020687256577075,28.020687256577077,0.998750466683225,39.950018667329
2025-10-30 11:53:48.420748,-0.0016640118458043363,-0.6531246494782019,2.8040422676545003,28.040422676545003,1.0040132146696357,40.160528586785425
2025-10-30 11:53:48.424081,-0.0013350907127680361,-0.5240231047614542,2.8074959661874472,28.074959661874473,1.0112494932576688,40.44997973030675
2025-10-30 11:53:48.427414,-0.001499551279304831,-0.5885738771271462,2.810456279254775,28.104562792547753,1.0194725372581266,40.77890149032506
2025-10-30 11:53:48.430748,-0.0016640118458043363,-0.6531246494782019,2.808318275369196,28.08318275369196,1.0219394504895454,40.87757801958182
2025-10-30 11:53:48.434081,-0.001499551279304831,-0.5885738771271462,2.800424107339282,28.00424107339282,1.006809049563984,40.27236198255936
2025-10-30 11:53:48.437414,-0.001499551279304831,-0.5885738771271462,2.8045356531562016,28.045356531562014,1.0077958148252195,40.31183259300878
2025-10-30 11:53:48.440748,-0.0011706301461939309,-0.45947233238111784,2.806673657008483,28.06673657008483,1.014867632598126,40.59470530392504
2025-10-30 11:53:48.444081,-0.0016640118458043363,-0.6531246494782019,2.808647199042675,28.086471990426748,1.0188146937321894,40.75258774928757
2025-10-30 11:53:48.447414,-0.0013350907127680361,-0.5240231047614542,2.809469508228322,28.09469508228322,1.0178279284452092,40.71311713780837
2025-10-30 11:53:48.450748,-0.0013350907127680361,-0.5240231047614542,2.802233187490162,28.022331874901617,1.0115784150146114,40.463136600584455
2025-10-30 11:53:48.454081,-0.001499551279304831,-0.5885738771271462,2.8038778058208225,28.038778058208223,1.009769345354594,40.39077381418376
2025-10-30 11:53:48.457414,-0.001499551279304831,-0.5885738771271462,2.806180271502441,28.06180271502441,1.014867632598126,40.59470530392504
2025-10-30 11:53:48.460748,-0.0021573935450791143,-0.8467769664435524,2.8088116608795817,28.088116608795815,1.0151965543578871,40.607862174315486
2025-10-30 11:53:48.464081,-0.0016640118458043363,-0.6531246494782019,2.809469508228322,28.09469508228322,1.0166767022799854,40.66706809119942
2025-10-30 11:53:48.467414,-0.001499551279304831,-0.5885738771271462,2.8009174928336416,28.009174928336414,1.0089470409662358,40.35788163864943
2025-10-30 11:53:48.470748,-0.002321854111429475,-0.9113277387360689,2.804206729488289,28.04206729488289,1.0073024321943143,40.29209728777257
